id,name,sku,price,regular_price,sale_price,on_sale,in_stock,categories,permalink,image_url
5317,Centrifuge 6 tubes,,7500.00,7500.00,7500.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/centrifuge-machine-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/CENTRIFUGE-8T.jpg
5316,Under Arm Crutches Height Adjustable,,1800.00,2000.00,1800.00,True,True,CRUTCHES &amp; WALKING AIDS; NOVEMBER BLACK FRIDAY 2025,https://alphasurgicals.co.ke/product/under-arm-crutches/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/underarm-crutches.jpg
5315,Elbow Crutches,,2000.00,2000.00,2000.00,False,True,CRUTCHES &amp; WALKING AIDS; NOVEMBER BLACK FRIDAY 2025,https://alphasurgicals.co.ke/product/elbow-crutches/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Elbow-Crutches.jpg
5313,Walking Frame With Wheels/Castors,,5000.00,5000.00,5000.00,False,True,WALKING FRAMES,https://alphasurgicals.co.ke/product/walking-frame-with-castors/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Walking-Frame-With-Castors.jpg
5284,Commode Chair,,7000.00,7000.00,7000.00,False,True,HOME CARE EQUIPMENT; WHEELCHAIRS,https://alphasurgicals.co.ke/product/commode-chair/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/810-commode.jpg
5283,Reclining High Back Wheelchair With Commode,,23000.00,23000.00,23000.00,False,True,NOVEMBER BLACK FRIDAY 2025; WHEELCHAIRS,https://alphasurgicals.co.ke/product/reclining-high-back-wheelchair-with-commode/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/2306-202107121441333723.jpg
5282,Reclining High Back Wheelchair,,22000.00,22000.00,22000.00,False,True,NOVEMBER BLACK FRIDAY 2025; WHEELCHAIRS,https://alphasurgicals.co.ke/product/reclining-high-back-wheelchair/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/2306-202209071344492704.webp
5281,Extra Wide Wheelchair,,23000.00,25000.00,23000.00,True,True,NOVEMBER BLACK FRIDAY 2025; WHEELCHAIRS,https://alphasurgicals.co.ke/product/extra-wide-wheelchair/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Model-DY01951AC-56.jpg
5280,Standard Pediatric Wheelchair,,13500.00,13500.00,13500.00,False,True,HOME CARE EQUIPMENT; WHEELCHAIRS,https://alphasurgicals.co.ke/product/children-wheelchair/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/pediatric-wheelchair.webp
5279,Cerebral Palsy Wheelchair Kenya,,38000.00,38000.00,38000.00,False,True,NOVEMBER BLACK FRIDAY 2025; WHEELCHAIRS,https://alphasurgicals.co.ke/product/cerebral-palsy-wheelchair-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Model-DY01958LBCJ.jpg
5278,Standard Commode Wheelchair,,17000.00,17000.00,17000.00,False,True,HOME CARE EQUIPMENT; WHEELCHAIRS,https://alphasurgicals.co.ke/product/standard-commode-wheelchair/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/DY02609.jpg
5277,Microscope,,23000.00,25000.00,23000.00,True,True,LABORATORY EQUIPMENT; NOVEMBER BLACK FRIDAY 2025,https://alphasurgicals.co.ke/product/microscope/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/mcro.jpg
5276,Autoclave Machine 18 Litres Kenya,,18000.00,20000.00,18000.00,True,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT; NOVEMBER BLACK FRIDAY 2025,https://alphasurgicals.co.ke/product/autoclave-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/autoclave.jpg
5275,Delivery Bed/Gynecology Bed,,30000.00,30000.00,30000.00,False,True,HOME CARE EQUIPMENT; HOSPITAL BEDS,https://alphasurgicals.co.ke/product/delivery-bed/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/delivery-bed-1-600x489-1.png
5273,Dual Head Stethoscope,,1500.00,2000.00,1500.00,True,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/dual-head-stethoscope/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/dual-head-stethescope.jpg
5271,Littmann Classic II Stethoscope,,3000.00,6500.00,3000.00,True,True,MEDICAL EQUIPMENT; NOVEMBER BLACK FRIDAY 2025,https://alphasurgicals.co.ke/product/littmann-stethoscope/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/3M-littmann-Classic-2-SE-Stethoscope.jpeg
5269,Digital Thermometer,,200.00,200.00,200.00,False,True,HOME CARE EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/digital-thermometer/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/digital-thermometer-1.jpg
5268,E.N.T Diagnostic Set,,8500.00,8500.00,8500.00,False,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/e-n-t-diagnostic-set/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/ENT-KIT-1.jpg
5267,Vacuum Blood Collection Tubes- Red Top,,750.00,750.00,750.00,False,True,LABORATORY EQUIPMENT,https://alphasurgicals.co.ke/product/blood-collection-tubes/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/vacuum-blood-collection-tube-red.jpg
5266,Medicine Trolley 2 Shelves,,9000.00,10000.00,9000.00,True,True,OPERATING THEATRE EQUIPMENT,https://alphasurgicals.co.ke/product/medicine-trolley/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Medicine-Trolley.jpg
5265,Instrument Tray,,1000.00,1000.00,1000.00,False,True,LABORATORY EQUIPMENT; OPERATING THEATRE EQUIPMENT,https://alphasurgicals.co.ke/product/instrumental-tray/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/instrument-tray.jpg
5264,Ripple Mattress Bubble Inflatable,,6000.00,8500.00,6000.00,True,True,HOME CARE EQUIPMENT; HOSPITAL BEDS; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/ripple-mattress-air-mattress/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/ripple-mattress-with-electric-pump.jpg
5263,Portable compressor nebulizer,,5000.00,6500.00,5000.00,True,True,HOME CARE EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/portable-nebulizer/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Nebulizer-1.jpg
5262,Examination Couch,,17000.00,17000.00,17000.00,False,True,HOME CARE EQUIPMENT; HOSPITAL BEDS,https://alphasurgicals.co.ke/product/examination-couch/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Examination-Couch.jpg
5261,Sterilization Gauze Drum ( 6*6),,2500.00,2500.00,2500.00,False,True,LABORATORY EQUIPMENT,https://alphasurgicals.co.ke/product/gauze-drums/,https://alphasurgicals.co.ke/wp-content/uploads/2024/07/drum-large.jpg
5260,Infrared Heating Lamp With Stand,,15000.00,17000.00,15000.00,True,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/infrared-heating-lamp-with-stand/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/infra-red-3.jpg
5258,Ward Screen- 4 Fold,,10000.00,10000.00,10000.00,False,True,HOME CARE EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/ward-screen-4-fold/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/WARD-SCREEN-4-FOLD.jpg
5257,2 Crank Manual Hospital Bed,,30000.00,40000.00,30000.00,True,True,HOME CARE EQUIPMENT; HOSPITAL BEDS; MEDICAL EQUIPMENT; NOVEMBER BLACK FRIDAY 2025,https://alphasurgicals.co.ke/product/patient-bed-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Patient_bed-removebg-preview-1.png
5256,Drip Stand/ IV stand,,4000.00,4000.00,4000.00,False,True,HOME CARE EQUIPMENT; HOSPITAL BEDS; OPERATING THEATRE EQUIPMENT,https://alphasurgicals.co.ke/product/drip-stand/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/drip-1.png
5255,Hospital Bed Side Cabinet,,11000.00,11000.00,11000.00,False,True,HOME CARE EQUIPMENT; HOSPITAL BEDS,https://alphasurgicals.co.ke/product/hospital-bed-side-cabinet/,https://alphasurgicals.co.ke/wp-content/uploads/2024/02/Bed-side-Cabinet-1.jpg
